DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Relative Abundance by System Category
COLOR	#000000
FIELD_LABELS	Normal Operation	Early Warning	System Failure
FIELD_COLORS	0,136,0	255,140,0	255,0,0
MARGIN	50
WIDTH	300
HEIGHT_FACTOR	0.8
SHOW_SCALE	1
DASHED_LINES	0
DATA
	17.0	64.0	63.0
Azospira	63.32289981431515	171.58111670131365	145.93872418403365
Brachybacterium	0.025724698366839074	0.13265234721581276	1.0448618739372997
Brevibacterium	0.036773273525704336	0.4713519988928623	0.7526099587680708
Bulleidia	0	0.02673082063619353	0.35510693186081216
Clostridium	1.2638312171099797	9.06793760655965	31.712151274147317
Corynebacterium	1.8563975517182696	4.4967116542911825	24.898562824598567
Enterococcus	0.1115683700078241	0.14929448377315346	0.41972099029252286
Gelria	4.212726557401911	0.18921799054262403	0.0215424386040499
Halomonas	0.7860447418690953	52.076018160854176	57.95059204347829
Legionella	2.1304524342535345	3.9769088778864505	9.06122341748856
Mycobacterium	0.11809166609003799	0.5837825878280324	1.599408952481967
Mycoplana	0.6218877147061586	1.182261414072264	9.341558173408952
Neisseria	0.2632331415606066	0.44200905161009424	3.1792228158714457
Novosphingobium	19.485180007850335	48.1864996144175	103.91172636081049
Oerskovia	0	0.01701052222303225	0.27809083384136424
Opitutus	0.007362414872078041	0.4319194539740717	16.528635226866736
Oxobacter	0.01245595928680736	0.40896882300834814	0.17876099489202205
Paracoccus	3.7420425506476223	1.4718920872160186	10.256522780741959
Phenylobacterium	23.181662293651407	5.530474201031126	1.5996626133260357
Porphyrobacter	0.29205851092769136	0.7549005223492299	0.06092326388428856
Prevotella	0.024539879946298623	1.1445395207208424	3.7017026616952124
Psb-m-3	1.9599512211838606	26.78379409166271	17.025986621101147
Pseudarthrobacter	0	0	10.398505064791845
Pseudoalteromonas	0.4329821051077037	0.7188316470147581	5.265614390090683
Streptococcus	11.261313325209766	18.308886088674	29.914227516751154
Tepidimonas	21.01006841059068	4.976537316044502	0.20475555899018158
Thiobacillus	0.16219968626706804	0.8400507283825995	0.4719195457971707
Acetobacterium	6.723459115496372	24.122977855775073	7.398709572642268
Achromobacter	3.3351279319277434	46.62785154063943	14.603331188503422
Acidisoma	0.001319574569158903	49.53	11.79
Acidovorax	26.42545250802061	134.13981614431435	30.519567297337506
Aestuariimicrobium	0.007236413633403285	23.060049672564446	0
Afipia	0.2657130985747149	27.46765664385401	0.05535900796995576
Anoxybacillus	4.554998327273578	10.546268615718393	44.04333323631504
Bacillus	12.04133474566652	11.428352362398087	6.475166796952427
Beta_proteobacterium	37.48462262102902	0.13763492482925502	0
Blastomonas	9.752291945878568	14.612974262697458	11.462564821759912
Bradyrhizobium	60.07114209400673	112.88596189403975	40.29403688549917
Brevundimonas	33.312146898811655	44.71512159957376	13.374182855859704
Candidatus_desulforudis	27.28127939793039	0	0
Caulobacter	20.33226111348825	46.10300580188346	62.541597407778326
Chryseobacterium	18.943263078524836	0.8679878013597004	4.264482095390793
Clostridium_sensu_stricto_12	0.003912822318738506	0.00242512428761974	77.67831920903954
Cutibacterium	0	98.312654779694	0
Dechloromonas	30.697807207562853	112.61754302621756	44.17538200666405
Desulfomicrobium	0.3114002851000963	31.66822618300297	1.4249453532032594
Desulfosporosinus	75.68150452262019	26.127407558615168	43.63821891897561
Desulfotomaculum	54.25979023537474	114.51327356812882	31.87913825305827
Desulfovibrio	18.03263274380422	98.82490161793038	27.759621930635987
Enhydrobacter	0.7338733045084945	53.44974265795999	3.1116402124216433
Erysipelothrix	36.57500038212456	65.29825560205492	2.0220049152311423
Flavisolibacter	1.1075955502870651	1.000710859923653	41.98654949976936
Geothrix	0.7930081429766024	35.46625352789671	15.040089293493311
Herbaspirillum	0.02348312537053557	21.62079112149411	0.008967393821037839
Hydrogenophaga	26.8061056433481	25.660828637888425	3.4240993885146502
Methylocystis	25.080637222787814	14.266538857190916	34.65924319105427
Micrococcus	11.164920211217622	7.380442114766149	8.032831322433948
Nitrospira	3.1661968161355563	27.072703073224616	7.591687842168662
Phreatobacter	56.53700842939675	36.205382347377245	15.360996479413666
Propionibacterium	100.69263185759225	125.04123159843397	134.74462949552623
Propionivibrio	12.532370479047302	105.72400932651809	58.20281795649044
Pseudomonas	32.04711239477105	179.2080284978886	111.84551854436117
Pseudorhodoferax	12.0886684002093	45.30178287331565	3.119755763367492
Pseudoxanthomonas	51.93495917615772	20.93721496209605	8.964836096118551
Ralstonia	0.0975934938118717	28.827878285189698	0.9375420572017796
Ruminiclostridium_1	0.868936974270257	30.41688353023724	2.862102756384006
Sediminibacterium	60.46391670410339	18.218140995929243	83.25213871280522
Silanimonas	8.388703801664109	13.778113000630874	3.042175155959686
Simplicispira	7.994966169098178	22.286348828203604	4.489006821148971
Smithella	27.979494084578295	130.26853690964444	11.602160985330865
Sphingobium	41.99187695961059	92.37883534559657	32.136089436492114
Sphingomonas	7.379735569233996	59.66563520622652	6.91054549451414
Sphingopyxis	15.882508938898813	47.540194135562444	1.7389687277277261
Staphylococcus	17.38966218649471	11.465939318765338	7.390529439271468
Syntrophus	10.882570885793692	7.306189684962323	8.361680430355193
Tessaracoccus	11.934535129721302	56.37517644978754	26.21549667768036
Thermincola	1.63	5.013007609251406	28.73
Treponema	10.084086655116923	10.02039383884286	48.32994288808436
Oxalobacteraceae_unclassified	0.17942279654235113	60.65040146629561	0.015832026329510262
Variovorax	7.6249454540572685	16.089708368918075	5.319155240650886
Wchb1-05	1.3340609827682834	9.769932107881266	22.78026560419413
Desulfobacterium	0	0	0.04119447153377947
Desulfobulbus	0.26542749701621365	3.041619972933107	0.2375145250159182
Gallionella	0.03301229307804188	0.19514156993471962	1.5385300151494714
Shewanella	1.979526522197055	0.2717350432278164	0.31736683720373976
