GID,site_6,site_7,site_10,site_19,site_20,site_23,site_25,site_27,site_30,site_31,site_33,site_36,site_37,site_38,site_39,site_41,site_42,site_43,site_45,site_46,site_48,site_50,site_51,site_52,site_53,site_54,site_61,site_62,site_63,site_64,site_65,site_66
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,8.84,1.9304,0.0,0.0,1.1702,0.0292,0.9487,0.0032,0.4752,16.6715,1.571,1.3354,1.1857,1.5999,1.089,9.2996,0.126,1.8329,0.0135,10.3039,41.7533,0.0,0.0036,0.0072,0.0,2.6088,0.7624,2.0323,1.9186,10.95,3.5384,12.14
18,0.0,0.1649,0.0,0.0,0.0,0.5273,0.0776,0.0032,0.0717,0.0,0.0271,0.0361,0.013,0.0086,0.0182,0.0,0.357,0.0,0.0027,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0744,0.0829,0.0231,0.0,0.1089,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.194,0.0,0.0,0.0,0.0,0.023,0.073,0.0,0.0,0.8126,0.797,0.5561,0.0,0.0,0.0075,0.0,0.0,3.819,0.1681,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0305,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.2304,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,0.0,0.0,0.0,0.0364,0.0,0.0,0.0,0.0,0.0,0.2648,0.0,0.0,0.0044,0.0231,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.1164,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.009,0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0004,0.0,0.0,0.0186,0.0,0.0,0.18,0.0,0.0
29,0.0,0.0,0.0,0.0,22.1179,0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0013,0.789,0.0,0.0,0.0564,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0073,0.0,0.0,0.0,0.0,0.0517,26.783,0.0,0.0,0.1354,0.1805,0.0294,0.0,0.0,0.0225,0.0,0.0,0.1226,0.0474,0.0,0.0,0.0,0.0,0.0,0.0,0.0372,0.0044,0.0462,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0301,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0186,0.0,0.0,0.0,0.0,0.0
