Jointax,Kingdom,Phylum,Class,Order,Family,Genus,GID,site_1,site_2,site_3,site_4,site_5,site_6,site_7,site_8,site_9,site_10,site_11,site_12,site_13,site_14,site_15,site_16,site_17,site_18,site_19,site_20,site_21,site_22,site_23,site_24,site_25,site_26,site_27,site_28,site_29,site_30,site_31,site_32,site_33,site_34,site_35,site_36,site_37,site_38,site_39,site_40,site_41,site_42,site_43,site_44,site_45,site_46,site_47,site_48,site_49,site_50,site_51,site_52,site_53,site_54,site_55,site_56,site_57,site_58,site_59,site_60,site_61,site_62,site_63,site_64,site_65,site_66,site_67,site_68,site_69,site_70,IDs
Category,,,,,,,,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,[]
Rhodocyclales_Rhodocyclaceae_Azospira,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,110,26.92804825506247,1.859229747675963,3.093542843113184,2.573991229036737,2.709368672924719,0.0,2.14623499454347,0.54,3.903179707038228,0.0,0.1023279611153748,3.245378498399257,0.5160778086542279,0.1007895178901394,0.07216395650918889,0.9942834807250697,0.3176283748014823,2.252422297722411,0.0,32.25946258306848,36.44453233142179,0.1172691582113904,0.08991276032174188,1.037941994437823,5.197792088316467,0.04882425905887942,0.004867285352715945,0.4851899675235747,2.034158510842449,4.393436743477092,0.0,0.009877518767285657,0.02708559046587215,0.0,0.07236413633403285,0.1353424163132726,0.03098701807032422,7.04647676161919,49.59523723091444,0.0,47.38717785197134,7.685846283074338,2.995664170279858,60.3,0.01482339940975919,0.5733994395343823,21.54846664810469,2.922169148637257,4.74,0.0,0.02364410170601288,0.003981589131854306,0.0,2.320610687022901,8.222547890714958,12.5592695967986,6.430223592906708,0.6532180595581172,0.5920891286830396,1.562333179116695,0.3532911863146151,0.5713039686000873,0.624133148404993,0.26,4.518236254763201,0.4,0.004885675200312683,0.0,1.47,1.72,"['1219551464', '1219551462', '1219551461', '1219551459', '1219551458', '1219551457', '1219551456', '1219551450', '1219551441', '1219551423', '1219551402', '1219551399', '1219551250', '1219551238', '1219551233', '1219551203', '1219550793', '1219550379', '1033472697', '1033471739']"
Actinomycetales_Dermabacteraceae_Brachybacterium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02581844469689146,0.03969829297340214,0.520745842432387,0.0577311652073511,0.06595983778765818,0.0,0.0,0.0,0.0,0.0,0.03314128384234946,0.06561201428883867,0.004966229638458482,0.0,0.0,0.0,0.0,0.268662444828248,0.008966197435667534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01193269957440038,0.0,0.0,0.0,0.003637554108617366,0.0,0.0,0.0,0.0,0.0,0.01542020046260601,0.0,0.0,0.005338268265774583,0.0,0.0,0.0,0.0,0.05443658138268917,0.0,0.0,0.02117186259461176,0.0,0.0,"['2265463493', '1962359363', '1962354592', '1674370651', '1605110036', '1465391646', '1417735331', '1417735330', '1336499538', '1279335676', '558476457', '1100787592', '1041788017', '1041788016', '1041788015', '1041788014', '953940236', '953940153', '998612131', '984880459']"
Erysipelotrichales_Erysipelotrichaceae_Bulleidia,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2814018930672806,0.0,0.01984914648670107,0.01679825298168991,0.01443279130183778,0.007328870865295353,0.0,0.0,0.0,0.0,0.0,0.01529597715800744,0.02673082063619353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['2318612070', '1328373273', '1328373068', '1328372999', '1328372966', '1328372367', '1328372305', '1328372078', '1328372025', '1328371988', '1328371942', '1328371755', '1328371587', '1328371526', '1328371383', '1328371371', '1328371182', '1328370916', '1328370910', '1328370543']"
Actinomycetales_Promicromonosporaceae_Cellulosimicrobium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Cellulosimicrobium,201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00962186086789185,0.01465774173059071,0.0,0.0,0.0,0.0,0.0,0.01529597715800744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['2283394915', '2056114386', '1997760214', '1635510468', '1635510435', '1417735350', '1417735349', '1417735348', '1417735347', '1417735346', '1417735345', '914241953', '1139287723', '1139287409', '1139284750', '1139284742', '1139284740', '1139284733', '1139284429', '1139284428']"
Clostridiales_Clostridiaceae_Clostridium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.920951650038373,0.3020758029536301,0.6947201270345376,13.50579539727868,3.651496199364957,0.9429813846680022,1.058761249338274,0.0,0.0,0.0,0.0,1.371539285168001,3.251439819202449,0.009932459276916964,0.0,0.0,0.0,0.0,0.1151410477835348,0.192773244866852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5632897836795887,0.07744339976524969,0.0,0.0,4.262914741705166,0.04927079227433977,4.41,0.0,0.0,0.09745037985760312,0.1264400112391121,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06168080185042405,0.0,0.0,0.1334567066443646,0.0,0.0,0.0,0.0,0.5443658138268916,0.0,0.0,0.0,0.0,0.0,"['2318625970', '2318619396', '2318616155', '2318612385', '2318612293', '2318612166', '2318611699', '2318611547', '2318611484', '2303472194', '2283786000', '2055419549', '820660841', '820660837', '820660834', '1868669465', '381140144', '1778013553', '1778013552', '1547055218']"
Actinomycetales_Corynebacteriaceae_Corynebacterium,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,229,0.0,0.0,0.0,0.0,0.00184060371801951,0.0,0.0,0.0,0.0,0.0,11.97237145049885,0.1394196013632139,0.8535132989281461,4.905089870653452,2.732608486481285,0.9258806859823131,0.9528851244044468,0.0,0.002897899747158247,0.0,0.0,0.8999133227961047,2.605039974727224,0.124155740961462,0.002874885004599816,0.0,0.0,0.0,0.5757052389176741,0.1748408499955169,0.0,0.0691426313709996,0.0,0.55,0.0,0.0,0.0,0.04926108374384236,0.1899783400491282,0.0,0.0,1.007979840403192,0.1675206937327552,0.0,0.0,0.0,1.25293345531204,0.01404889013767912,0.0,0.0,0.0,0.0,0.0,0.005725190839694656,0.003489305279318887,0.01849547701516629,0.2158828064764842,0.0,0.04204183162246435,0.5195914445353927,0.0,0.00436109899694723,0.0,0.0,0.2721829069134458,0.0,0.0,0.0,0.0,0.0,"['2734208655', '2318612267', '2306632722', '2302170227', '2278607924', '2265463538', '2104758927', '1962359378', '1962356581', '1962355919', '1962354668', '1962354582', '1962354512', '1962354456', '1962354305', '1962354283', '1962354064', '1885913355', '1862966248', '1862966247']"
Oceanospirillales_Halomonadaceae_Halomonas,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,354,0.0,0.0,0.02455192732629511,0.0,0.0,0.0,0.00242512428761974,0.0,0.02084077646778611,0.0,0.05116398055768739,0.01807291128782402,0.01984914648670107,0.0,0.3127104782064851,0.02198661259588606,0.0,0.01258336479174531,0.0002414916455965206,0.0,0.0,0.0101973181053383,0.002430074603290321,0.0,0.0,0.0,5.105782334999027,0.0,0.01919017463058914,0.0134492961535013,0.0,0.0,0.0,0.0,0.7453506042405385,0.0,0.0,0.0,0.003630159363996079,5.506709039548022,0.03376223881156919,0.02099958000839983,0.009854158454867954,0.0,46.86619860660046,0.01724509592584609,0.07955133049600255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.05837845108787,0.0,0.0,0.0,0.003558845510516389,0.0,0.0,0.0,0.0,0.0,0.0,0.9429353136603478,28.88900651034775,0.0,0.0,"['2652435758', '2295461564', '2295461558', '2295461554', '2295461441', '2295461439', '1985644733', '1962359288', '1962359280', '1962355821', '1795714375', '1795714374', '1795714373', '820661282', '1625683901', '1521591955', '1521590826', '1521589991', '1521589990', '1521589985']"
Legionellales_Legionellaceae_Legionella,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,408,0.0,0.0,0.0,0.004407519227802631,0.007362414872078041,0.0,0.0,0.72,0.05061331427890913,2.48,0.2046559222307496,0.07487348962098524,3.156014291385471,0.167982529816899,0.3127104782064851,3.466555919284702,0.2646903123345686,0.0,0.0,0.0,0.0102827763496144,0.4333860194768776,0.3596510412869675,0.0,0.02587396504139834,0.0,0.0,0.03521540086864655,0.268662444828248,0.1703577512776831,0.0,0.03951007506914263,0.02708559046587215,0.0,0.0,0.05112935727390297,0.02772522669450062,0.01285071749839366,0.1064846746772183,0.0,0.0,0.1679966400671987,0.009854158454867954,0.0,0.0,0.0,0.09745037985760312,0.01404889013767912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3392444101773323,0.0,0.03503485968538696,1.434214740738105,0.502045370026032,0.02180549498473616,0.0,0.0,0.0,0.0,0.0,0.06880855343248822,0.0,0.0,"['1985648187', '1985648149', '1985648080', '1985647958', '1985647831', '1985647613', '1985647610', '1985647539', '1985647536', '1985647310', '1985646537', '1985646513', '1985646308', '1985646262', '1985646221', '1985645915', '1985645834', '1985645750', '1985645742', '1985645708']"
Caulobacterales_Caulobacteraceae_Mycoplana,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Mycoplana,471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88385776413405,1.159248166890426,0.55577610162763,0.1511842768352091,0.3656307129798903,0.2540675233302389,0.3176283748014823,0.0,0.0,0.0,0.0,0.7877428236373835,0.5200359651041286,0.0,0.0,0.0,0.0,0.0,0.134331222414124,0.1793239487133507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008470371849324185,0.0,0.0,0.08399832003359933,0.1182499014584154,0.0,0.0,0.0,0.04971958156000159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2313030069390902,0.0,0.0,0.07295633296558596,0.0,0.0,0.0,0.0,0.2721829069134458,0.0,0.0,0.0,0.0,0.0,"['802131290', '413958060', '413958059', '295419055']"
Actinomycetales_Cellulomonadaceae_Oerskovia,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Oerskovia,497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03969829297340214,0.2015790357802789,0.00962186086789185,0.01954365564078761,0.0,0.0,0.0,0.0,0.0,0.007647988579003722,0.01701052222303225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['1041788013', '1041788012', '1008904215', '954166227', '673531211', '493664552', '345498868', '333774157', '323363374', '220981183', '238653363', '238653362', '221360510', '196460205', '113927308', '164507622', '21702239', '21702237', '21702236', '21702235']"
Clostridiales_Clostridiaceae_Oxobacter,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Oxobacter,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01549106681813488,0.1389440254069075,0.0,0.004810930433945925,0.007328870865295353,0.0,0.0,0.0,0.0,0.0,0.0101973181053383,0.002430074603290321,0.0,0.0,0.0,0.0,0.0,0.0,0.004483098717833767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02099958000839983,0.0,0.0,0.0,0.0,0.001988783262400064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01245595928680736,0.0,0.0,0.0,0.0,0.3810560696788242,0.0,0.0,0.0,0.0,0.0,"['671695952', '671695951', '671695950', '671695949', '572658']"
Rhodobacterales_Rhodobacteraceae_Paracoccus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,526,0.1507970702283498,0.7019540884082717,0.220967345936656,0.7096105956762236,0.1822197680839315,0.0,0.09943009579240936,0.0,0.1935214957722996,0.0,0.07674597083653108,0.0335639781059589,0.0,1.243070720645053,1.27489656499567,0.1685640299017931,0.1058761249338274,0.0880835535422172,0.0,0.0,0.0,0.08667720389537552,0.3961021603363223,0.0,0.0546228150873965,0.001319574569158903,0.5435135310532806,0.0665179794185546,0.01919017463058914,0.02241549358916883,0.0,0.03951007506914263,0.02708559046587215,3.1,0.3762935089369708,0.009022827754218171,0.003261791375823602,0.08567144998929106,0.02057090306264445,1.855579096045198,0.04501631841542559,0.02099958000839983,0.009854158454867954,0.0,0.002695163529047125,0.0,0.01392148283680045,0.0,1.66,0.0,0.0,0.0003981589131854306,0.0,0.0,0.0,0.3404849177791976,0.3855050115651504,0.1344860710854947,0.7567529692043583,0.01245595928680736,0.05578281889178133,0.05233318796336677,0.02311604253351826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['2295461617', '2295461613', '2295461556', '311690762', '1985646349', '1985645485', '1985644832', '1985644168', '1985643443', '1962354486', '1795714276', '612149155', '1773404719', '1691059717', '1674370669', '1674370668', '1674370667', '1674370590', '1674370589', '1614056654']"
Erysipelotrichales_Erysipelotrichaceae_Psb-m-3,Bacteria,Firmicutes,Erysipelotrichi,Erysipelotrichales,Erysipelotrichaceae,Psb-m-3,581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9465336403172167,10.90829288443664,1.806272330289798,0.2015790357802789,0.1202732608486481,0.1563492451263009,0.1058761249338274,0.0,0.0,0.0,0.0,0.2370876459491154,0.1846856698500644,0.0,0.0,0.0,0.0,0.0,1.899827288428325,1.286649332018291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.10023559648747,0.1984487118984523,0.0,0.0,2.288954220915582,0.1182499014584154,0.0,0.0,0.0,0.749771289924824,0.1264400112391121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8789514263685427,0.0,0.0,0.9751236698814905,0.0,0.0,0.0,0.0,14.48013064779532,0.0,0.0,0.0,0.0,0.0,[]
